,Q1,Q3,IQR,Lower_Bound,Upper_Bound
price_inr,48.0,140.0,92.0,-90.0,278.0
pack_size,10.0,10.0,0.0,10.0,10.0
num_active_ingredients,1.0,2.0,1.0,-0.5,3.5
primary_strength_numeric,20.0,200.0,180.0,-250.0,470.0
brand_name_text_length,18.0,25.0,7.0,7.5,35.5
brand_name_word_count,3.0,4.0,1.0,1.5,5.5
brand_name_frequency,3.937426419343789e-06,3.937426419343789e-06,0.0,3.937426419343789e-06,3.937426419343789e-06
manufacturer_text_length,17.0,27.0,10.0,2.0,42.0
manufacturer_word_count,2.0,4.0,2.0,-1.0,7.0
manufacturer_frequency,0.00016143448319309533,0.0008780460915136649,0.0007166116083205695,-0.0009134829292877589,0.0019529635039945191
dosage_form_text_length,6.0,7.0,1.0,4.5,8.5
dosage_form_word_count,1.0,1.0,0.0,1.0,1.0
dosage_form_frequency,0.08766679922668945,0.6007961476219913,0.5131293483953019,-0.6820272233662634,1.3704901702149441
pack_unit_text_length,5.0,5.0,0.0,5.0,5.0
pack_unit_word_count,1.0,1.0,0.0,1.0,1.0
pack_unit_frequency,0.13297476503407843,0.6777177101502916,0.5447429451162131,-0.6841396526402412,1.4948321278246113
primary_ingredient_text_length,10.0,12.0,2.0,7.0,15.0
primary_ingredient_word_count,1.0,1.0,0.0,1.0,1.0
primary_ingredient_frequency,0.0017206553452532355,0.020730550097845045,0.019009894752591808,-0.026794186783634474,0.049245392226732757
primary_strength_text_length,4.0,5.0,1.0,2.5,6.5
primary_strength_word_count,1.0,1.0,0.0,1.0,1.0
primary_strength_frequency,0.015300839065569963,0.0783469108921027,0.06304607182653274,-0.07926826867422915,0.1729160186319018
active_ingredients_text_length,87.0,176.0,89.0,-46.5,309.5
active_ingredients_word_count,7.0,14.0,7.0,-3.5,24.5
active_ingredients_frequency,0.00023919865497513515,0.003618494879376942,0.0033792962244018065,-0.004829745681627575,0.008687439215979652
therapeutic_class_text_length,5.0,10.0,5.0,-2.5,17.5
therapeutic_class_word_count,1.0,1.0,0.0,1.0,1.0
therapeutic_class_frequency,0.09491166383828202,0.5674579581294075,0.47254629429112543,-0.6139077775984062,1.2762773995660956
