ccp_alpha,train_accuracy,test_accuracy,tree_depth,node_count
0.0,1.0,0.7272727272727273,16,229
0.0010455623919250407,0.998371335504886,0.7402597402597403,16,223
0.001402104867184762,0.99185667752443,0.7402597402597403,16,205
0.0014250814332247557,0.988599348534202,0.7272727272727273,16,197
0.0014657980456026063,0.9869706840390879,0.7272727272727273,16,193
0.0014661155240616947,0.9853420195439739,0.7337662337662337,16,189
0.0015123313168915779,0.9837133550488599,0.7337662337662337,16,185
0.0015788074187329656,0.9788273615635179,0.7402597402597403,16,173
0.0016458083319046805,0.9739413680781759,0.7467532467532467,16,163
0.00179744490382839,0.9706840390879479,0.7467532467532467,16,157
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021715526601520083,0.9592833876221498,0.7402597402597403,16,143
0.0021944111092062363,0.9576547231270358,0.7402597402597403,16,141
0.002326663564448581,0.9543973941368078,0.7402597402597403,14,137
0.002347192948840774,0.9527687296416938,0.7402597402597403,14,135
0.0024182721847671473,0.9478827361563518,0.7402597402597403,14,129
0.0024429967426710096,0.9446254071661238,0.7402597402597403,14,125
0.0024429967426710096,0.9446254071661238,0.7402597402597403,14,125
0.0025763921203660624,0.9381107491856677,0.7467532467532467,14,115
0.0025851817382762012,0.9348534201954397,0.7467532467532467,13,113
0.0026058631921824097,0.9299674267100977,0.7337662337662337,13,107
0.0026058631921824097,0.9299674267100977,0.7337662337662337,13,107
0.0026058631921824097,0.9299674267100977,0.7337662337662337,13,107
0.002669970198904982,0.9201954397394136,0.7272727272727273,13,95
0.0027144408251900108,0.9169381107491856,0.7272727272727273,13,91
0.0027144408251900108,0.9169381107491856,0.7272727272727273,13,91
0.0027355531427192678,0.9120521172638436,0.7272727272727273,13,87
0.002751236710909842,0.9104234527687296,0.7272727272727273,13,85
0.002832459991502619,0.9055374592833876,0.7337662337662337,13,79
0.002895403546869345,0.9022801302931596,0.7467532467532467,13,75
0.002985884907709012,0.9006514657980456,0.7467532467532467,13,73
0.003005776350045452,0.8957654723127035,0.7467532467532467,13,67
0.0030300344399925624,0.8941368078175895,0.7467532467532467,13,65
0.003040173724212811,0.8925081433224755,0.7467532467532467,13,63
0.003486548437688506,0.8876221498371335,0.7597402597402597,13,61
0.003664495114006515,0.8843648208469055,0.7597402597402597,13,59
0.0037198968028628893,0.8827361563517915,0.7597402597402597,13,57
0.0037359020258043063,0.8648208469055375,0.7597402597402597,9,49
0.003800217155266015,0.8550488599348535,0.7532467532467533,9,45
0.0039570515140547715,0.8436482084690554,0.7467532467532467,9,39
0.00431011582573184,0.8420195439739414,0.7467532467532467,8,37
0.004477272105170158,0.8420195439739414,0.7467532467532467,8,33
0.0045101478326234,0.8420195439739414,0.7467532467532467,8,31
0.004632645674990949,0.8387622149837134,0.7467532467532467,8,29
0.004673485247043807,0.8355048859934854,0.7467532467532467,8,27
0.0047289518527486325,0.8322475570032574,0.7532467532467533,8,25
0.005037116270740022,0.8094462540716613,0.7922077922077922,5,17
0.005776412331786926,0.8061889250814332,0.7987012987012987,5,15
0.007361143148740729,0.8013029315960912,0.7987012987012987,5,13
0.007584456331092792,0.7882736156351792,0.7987012987012987,4,11
0.011303176297157325,0.760586319218241,0.6948051948051948,4,9
0.01176374424706804,0.760586319218241,0.6948051948051948,3,7
0.020414068433885157,0.760586319218241,0.6948051948051948,2,5
0.025122419588722966,0.760586319218241,0.6948051948051948,1,3
0.0922536464648368,0.6514657980456026,0.6493506493506493,0,1
